a1	吖阿呵啊锕腌
hu5	乎糊唬
hua1	
hua2	
hua4	
huai2	
huai4	
huan1	
huan2	
huan3	
huan4	
huang1	
huang2	
huang3	
huang4	
hui1	
hui2	
hui3	
hui4	
hun1	
hun2	
hun4	
huo1	
huo2	
huo3	
huo4	
huo5	伙和
ji1	
ji2	
ji3	
ji4	
jia1	
jia2	
jia3	
jia4	
jia5	家
jian1	
jian3	
jian4	
jiang1	
jiang3	
jiang4	
jiao1	
jiao2	
jiao3	
jiao4	
jie1	
jie2	
jie3	
jie4	
jie5	
jin1	
jin3	
jin4	
jing1	
jing3	
jing4	
jiong1	
jiong3	
jiu1	
jiu3	
jiu4	
ju1	
ju2	
ju3	
ju4	
ju5	矩
juan1	
juan3	
juan4	
jue1	
jue2	
jue3	
jue4
jun1	
jun4	
ka1	
ka3	
kai1	
kai3	
kai4	
kan1	
kan3	
kan4	
kang1	
kang2	
kang4	
kao1	
kao3	
kao4	
ke1	
ke2	
ke3	
ke4	
kei1	
ken3	
ken4	
keng1	
kong1	
kong3	
kong4	
kou1	
kou3	
kou4	
ku1	
ku3	
ku4	
kua1	
kua3	
kua4	
kuai3	
kuai4	
kuan1	
kuan3	
kuang1	
kuang2	
kuang3	
kuang4	
kui1	
kui2	
kui3	
kui4	
kun1	
kun3	
kun4	
kuo4	
la1	
la2	
la3	
la4	
la5	
lai2	
lai4	
lai5	
lan2	
lan3	
lan4	
lang1	
lang2	
lang3	
lang4	
lao1	
lao2	
lao3	
lao4	
lao5	姥
le1	
le4	
le5	
lei1	
lei2	
lei3	
lei4	
lei5	
leng1	
leng2	
leng3	
leng4	
li1	
li2	
li3	
li4	
li5	
lia3	
lian2	
lian3	
lian4	
liang2	
liang3	
liang4	
liang5	量
liao1	
liao2	
liao3	
liao4	
lie1	
lie3	
lie4	
lie5	
lin1	
lin2	
lin3	
lin4	
ling2	
ling3	
ling4	
liu1	
liu2	
liu3	
liu4	
lo5	
long1	
long2	
long3	
long4	
lou1	
lou2	
lou3	
lou4	
lou5	
lu1	
lu2	
lu3	
lu4	
lu5	
lv2	
lv3	
lv4	
luan2	
luan3	
luan4	
lve4	
lun1	
lun2	
lun3	
lun4	
luo1	
luo2	
luo3	
luo4	
luo5	
m1	姆
m2	呒呣
m4	呣
ma1	
ma2	
ma3	
ma4	
ma5	
mai2	
mai3	
mai4	
man1	
man2	
man3	
man4	
mang1	
mang2	
mang3	
mao1	
mao2	
mao3	
mao4	
me5	
mei2	
mei3	
mei4	
men1	
men2	
men4	
men5	
meng1	
meng2	
meng3	
meng4	
mi1	
mi2	
mi3	
mi4	
mi5	迷
mian2	
mian3	
mian4	
miao1	
miao2	
miao3	
miao4	
mie1	
mie4	
min2	
min3	
ming2	
ming3	
ming4	
miu4	
mo1	
mo2	
mo3	
mo4
mo5	磨
mou1	
mou2	
mou3	
mu2	
mu3	
mu4	
n2	唔嗯
n3	嗯
n4	嗯
na1	
na2	
na3	
na4	
na5	
nai3	
nai4	
nai5	奶
nan1	
nan2	
nan3	
nan4	
nang1	
nang2	
nang3	
nang4	
nao1	
nao2	
nao3	
nao4	
ne2	
ne4	
ne5	
nei3	
nei4	
nen4	
neng2	
ng2	唔嗯
ng3	嗯
ng4	嗯
ni1	
ni2	
ni3	
ni4	
nian1	
nian2	
nian3	
nian4	
niang2	
niang4	
niao3	
niao4	
nie1	
nie2	
nie4	
nin2	
ning2	
ning3	
ning4	
niu1	
niu2	
niu3	
niu4	
nong2	
nong4	
nou4	
nu2	
nu3	
nu4	
nv3	
nv4	
nuan3	
nve4	
nun2	
nuo2	
nuo4	
o1	
o2	
o3	
o4	
ou1	
ou2	
ou3	
ou4	
pa1	
pa2	
pa4	
pai1	
pai2	
pai3	
pai4	
pan1	
pan2	
pan4	
pang1	
pang2	
pang3	
pang4	
pao1	
pao2	
pao3	
pao4	
pei1	
pei2	
pei4	
pen1	
pen2	
pen4	
peng1	
peng2	
peng3	
peng4	
pi1	
pi2	
pi3	
pi4	
pian1	
pian2	
pian3	
pian4	
piao1	
piao2	
piao3	
piao4	
pie1	
pie3	
pie4	
pin1	
pin2	
pin3	
pin4	
ping1	
ping2	
po1	
po2	
po3	
po4	
po5	
pou1	
pou2	
pou3	
pu1	
pu2	
pu3	
pu4	
qi1	
qi2	
qi3	
qi4	
qia1	
qia2	
qia3	
qia4	
qian1	
qian2	
qian3	
qian4	
qiang1	
qiang2	
qiang3	
qiang4	
qiao1	
qiao2	
qiao3	
qiao4	
qie1	
qie2	
qie3	
qie4	
qie5	趄
qin1	
qin2	
qin3	
qin4	
qing1	
qing2	
qing3	
qing4	
qiong2	
qiu1	
qiu2	
qiu3	
qu1	
qu2	
qu3	
qu4	
qu5	
quan1	
quan2	
quan3	
quan4	
que1	
que2	
que4	
qun1	
qun2	
ran2	
ran3	
rang1	
rang2	
rang3	
rang4	
rang5	嚷
rao2	
rao3	
rao4	
re3	
re4	
ren2	
ren3	
ren4	
reng1	
reng2	
ri4	
rong2	
rong3	
rou2	
rou4	
ru2	
ru3	
ru4	
rua2	
ruan2	
ruan3	
rui2	
rui3	
rui4	
run2	
run4	
ruo2	
ruo4	
sa1	
sa3	
sa4	
sai1	
sai4	
san1	
san3	
san4	
sang1	
sang3	
sang4	
sao1	
sao3	
sao4	
se4	
sen1	
seng1	
sha1	
sha2	
sha3	
sha4	
shai1	
shai3	
shai4	
shan1	
shan3	
shan4	
shang1	
shang3	
shang4	
shang5	
shao1	
shao2	
shao3	
shao4	
she1	
she2	
she3	
she4	
shei2	
shen1	
shen2	
shen3	
shen4	
sheng1	
sheng2	
sheng3	
sheng4	
sheng5	声
shi1	
shi2	
shi3	
shi4	
shi5	
shou1	
shou2	
shou3	
shou4	
shu1	
shu2	
shu3	
shu4	
shua1	
shua3	
shua4	
shuai1	
shuai3	
shuai4	
shuan1	
shuan4	
shuang1	
shuang3	
shui2	
shui3	
shui4	
shun3	
shun4	
shuo1	
shuo4	
si1	
si3	
si4	
song1	
song2	
song3	
song4	
sou1	
sou3	
sou4	
su1	
su2	
su4	
suan1	
suan4	
sui1	
sui2	
sui3	
sui4	
sun1	
sun3	
suo1	
suo3	
suo5	嗦
ta1	
ta3	
ta4	
tai1	
tai2	
tai3	
tai4	
tan1	
tan2	
tan3	
tan4	
tan5	弹
tang1	
tang2	
tang3	
tang4	
tao1	
tao2	
tao3	
tao4	
te4	
te5	
tei1	
teng1	
teng2	
ti1	
ti2	
ti3	
ti4	
tian1	
tian2	
tian3	
tian4	
tiao1	
tiao2	
tiao3	
tiao4	
tie1	
tie3	
tie4	
ting1	
ting2	
ting3	
ting4	
tong1	
tong2	
tong3	
tong4	
tou1	
tou2	
tou3	
tou4	
tou5	头
tu1	
tu2	
tu3	
tu4	
tuan1	
tuan2	
tuan3	
tuan4	
tui1	
tui2	
tui3	
tui4	
tun1	
tun2	
tun3	
tun4	
tun5	饨
tuo1	
tuo2	
tuo3	
tuo4	
wa1	
wa2	
wa3	
wa4	
wa5	
wai1	
wai3	
wai4	
wan1	
wan2	
wan3	
wan4	
wang1	
wang2	
wang3	
wang4	
wei1	
wei2	
wei3	
wei4	
wen1	
wen2	
wen3	
wen4	
weng1	
weng3	
weng4	
wo1	
wo3	
wo4	
wu1	
wu2	
wu3	
wu4	
xi1	
xi2	
xi3	
xi4	
xia1	
xia2	
xia4	
xian1	
xian2	
xian3	
xian4	
xiang1	
xiang2	
xiang3	
xiang4	
xiao1	
xiao2	
xiao3	
xiao4	
xie1	
xie2	
xie3	
xie4	
xin1	
xin2	
xin3	
xin4	
xing1	
xing2	
xing3	
xing4	
xiong1	
xiong2	
xiong4	
xiu1	
xiu3	
xiu4	
xu1	
xu2	
xu3	
xu4	
xu5	
xuan1	
xuan2	
xuan3	
xuan4	
xue1	
xue2	
xue3	
xue4	
xun1	
xun2	
xun4	
ya1	
ya2	
ya3	
ya4	
ya5	
yan1	
yan2	
yan3	
yan4	
yang1	
yang2	
yang3	
yang4	
yao1	
yao2	
yao3	
yao4	
ye1	
ye2	
ye3	
ye4	
yi1	
yi2	
yi3	
yi4	
yin1	
yin2	
yin3	
yin4	
ying1	
ying2	
ying3	
ying4	
yo1	
yo5	
yong1	
yong2	
yong3	
yong4	
you1	
you2	
you3	
you4	
yu1	
yu2	
yu3	
yu4	
yuan1	
yuan2	
yuan3	
yuan4	
yue1	
yue3	
yue4	
yun1	
yun2	
yun3	
yun4	
za1	
za2	
za3	
zai1	
zai3	
zai4	
zan1	
zan2	
zan3	
zan4	
zan5	
zang1	
zang3	
zang4	
zao1	
zao2	
zao3	
zao4	
ze2	
ze4	
zei2	
zen3	
zen4	
zeng1	
zeng4	
zha1	
zha2	
zha3	
zha4	
zha5	
zhai1	
zhai2	
zhai3	
zhai4	
zhan1	
zhan3	
zhan4	
zhang1	
zhang3	
zhang4	
zhao1	
zhao2	
zhao3	
zhao4	
zhe1	
zhe2	
zhe3	
zhe4	
zhe5	
zhei4	
zhen1	
zhen3	
zhen4	
zheng1	
zheng3	
zheng4	
zhi1	
zhi2	
zhi3	
zhi4	
zhong1	
zhong3	
zhong4	
zhou1	
zhou2	
zhou3	
zhou4	
zhu1	
zhu2	
zhu3	
zhu4	
zhua1	
zhua3	
zhuai1	
zhuai3	
zhuai4	
zhuan1	
zhuan3	
zhuan4	
zhuang1	
zhuang3	
zhuang4	
zhui1	
zhui4	
zhun1	
zhun3	
zhuo1	
zhuo2	
zi1	
zi3	
zi4	
zi5	子
zong1	
zong3	
zong4	
zou1	
zou3	
zou4	
zu1	
zu2	
zu3	
zuan1	
zuan3	
zuan4	
zui1	
zui3	
zui4	
zun1	
zun3	
zun4	
zuo1	
zuo2	
zuo3	
zuo4	
